path_id,name,class,namespace,assembly
5,FacebookSettings,FacebookSettings,Facebook.Unity.Settings,Facebook.Unity.Settings.dll
6,DiresuSettings,DiresuSettings,DiresuUnity.Settings,DiresuUnity.Settings.dll
7,FacebookGameObject,FacebookGameObject,Facebook.Unity,Facebook.Unity.dll
8,EditorFacebookLoader,EditorFacebookLoader,Facebook.Unity.Editor,Facebook.Unity.dll
9,WindowsFacebookGameObject,WindowsFacebookGameObject,Facebook.Unity.Windows,Facebook.Unity.dll
10,MobileAdsEventExecutor,MobileAdsEventExecutor,GoogleMobileAds.Common,GoogleMobileAds.Common.dll
11,AppStateEventClient,AppStateEventClient,GoogleMobileAds.Common,GoogleMobileAds.Common.dll
12,AnalyticsEventTracker,AnalyticsEventTracker,UnityEngine.Analytics,Unity.Analytics.Tracker.dll
13,IOSFacebookLoader,IOSFacebookLoader,Facebook.Unity.Mobile.IOS,Facebook.Unity.dll
14,AndroidFacebookLoader,AndroidFacebookLoader,Facebook.Unity.Mobile.Android,Facebook.Unity.dll
15,MockShareDialog,MockShareDialog,Facebook.Unity.Editor.Dialogs,Facebook.Unity.dll
16,AndroidFacebookGameObject,AndroidFacebookGameObject,Facebook.Unity.Mobile.Android,Facebook.Unity.dll
17,IOSFacebookGameObject,IOSFacebookGameObject,Facebook.Unity.Mobile.IOS,Facebook.Unity.dll
18,CodelessUIInteractEvent,CodelessUIInteractEvent,Facebook.Unity,Facebook.Unity.dll
19,CanvasFacebookGameObject,CanvasFacebookGameObject,Facebook.Unity.Canvas,Facebook.Unity.dll
20,MobileFacebookGameObject,MobileFacebookGameObject,Facebook.Unity.Mobile,Facebook.Unity.dll
21,gearBoots,gearBoots,,Assembly-CSharp
22,BinaryDataProvider,BinaryDataProvider,UnityEngine.ResourceManagement.ResourceProviders,Unity.ResourceManager
23,ParsingErrors,ParsingErrors,UnityEngine.Localization.SmartFormat.Core.Parsing,Unity.Localization
24,LocalizedAssetDatabase,LocalizedAssetDatabase,UnityEngine.Localization.Settings,Unity.Localization
25,BasicOCSPResponse,BasicOcspResponse,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.Ocsp,BestHTTP
26,DictionaryExtensions,DictionaryExtensions,Unity.Services.Core.Internal,Unity.Services.Core.Internal
27,SubjectKeyIdentifierStructure,SubjectKeyIdentifierStructure,BestHTTP.SecureProtocol.Org.BouncyCastle.X509.Extension,BestHTTP
28,CMSSignedGenerator,DefaultSignatureAlgorithmIdentifierFinder,BestHTTP.SecureProtocol.Org.BouncyCastle.Cms,BestHTTP
29,ObscuredFloat,ObscuredFloat,CodeStage.AntiCheat.ObscuredTypes,ACTk.Runtime
30,AssetLocationImpl,AssetLocationImpl,Google.Play.AssetDelivery.Internal,Google.Play.AssetDelivery
31,LayoutRebuilder,LayoutRebuilder,UnityEngine.UI,UnityEngine.UI
32,LocalizeTextureEvent,LocalizeTextureEvent,UnityEngine.Localization.Components,Unity.Localization
33,ridingPetGearOption,ridingPetGearOption,,Assembly-CSharp
34,IEntry,IEntry,Gpm.Common.ThirdParty.SharpCompress.Common,gpm_common
35,MacAlgorithm,MacAlgorithm,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Tls,BestHTTP
36,ProductMetadata,ProductMetadata,UnityEngine.Purchasing,Unity.Purchasing
37,CollectionSelectPop,CollectionSelectPop,,Assembly-CSharp
38,Hub,Hub,BestHTTP.SignalR.Hubs,BestHTTP
39,X509Extensions,X509Extensions,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.X509,BestHTTP
40,PKCSObjectIdentifiers,PkcsObjectIdentifiers,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.Pkcs,BestHTTP
41,Message,Message,UnityEngine.Localization.Pseudo,Unity.Localization
42,collectsetData,collectsetData,,Assembly-CSharp
43,NotificationManager,NotificationManager,Assets.SimpleAndroidNotifications,Assembly-CSharp
44,AdminRidingPetGearData,AdminRidingPetGearData,,Assembly-CSharp
45,ThreefishEngine,ThreefishEngine,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Engines,BestHTTP
46,skillData,skillData,,Assembly-CSharp
47,BerSet,BerSet,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1,BestHTTP
48,ClientCertificateType,ClientCertificateType,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Tls,BestHTTP
49,ObscuredByte.API,ObscuredByte,CodeStage.AntiCheat.ObscuredTypes,ACTk.Runtime
50,StreamBlockCipher,StreamBlockCipher,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto,BestHTTP
51,AnimationPreviewUtilities,AnimationPreviewUtilities,UnityEngine.Timeline,Unity.Timeline
52,Inflate,InflateBlocks,BestHTTP.Decompression.Zlib,BestHTTP
53,NoSuchStoreException,NoSuchStoreException,BestHTTP.SecureProtocol.Org.BouncyCastle.X509.Store,BestHTTP
54,ReadOnlySubStream,ReadOnlySubStream,Gpm.Common.ThirdParty.SharpCompress.IO,gpm_common
55,PositionAsUV1,PositionAsUV1,UnityEngine.UI,UnityEngine.UI
56,ObjectDigestInfo,ObjectDigestInfo,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.X509,BestHTTP
57,HTTPUrlEncodedForm,HTTPUrlEncodedForm,BestHTTP.Forms,BestHTTP
58,GooglePlayStoreConnectionService,GooglePlayStoreConnectionService,UnityEngine.Purchasing,Unity.Purchasing.Stores
59,BloomAndFlares,BloomAndFlares,UnityStandardAssets.ImageEffects,Assembly-CSharp-firstpass
60,BERSetParser,BerSetParser,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1,BestHTTP
61,ECDHCBasicAgreement,ECDHCBasicAgreement,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Agreement,BestHTTP
62,CMSSignedDataGenerator,CmsSignedDataGenerator,BestHTTP.SecureProtocol.Org.BouncyCastle.Cms,BestHTTP
63,PEMException,PemException,BestHTTP.SecureProtocol.Org.BouncyCastle.OpenSsl,BestHTTP
64,AdminChiefSkillData,AdminChiefSkillData,,Assembly-CSharp
65,FollowLocationRigidbody2D,FollowLocationRigidbody2D,Spine.Unity,spine-unity
66,Helpers,Helpers,Universal.UniversalSDK,Assembly-CSharp
67,CharacterInfo,CharacterInfo,,Assembly-CSharp
68,Sha224Digest,Sha224Digest,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Digests,BestHTTP
69,AnimationPlayableAsset,AnimationPlayableAsset,UnityEngine.Timeline,Unity.Timeline
70,Attributes,Attributes,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.Cms,BestHTTP
